ID Jogador,Data FTD,Data Criação,Valor FTD (R$),UTM Source,Total Depósitos (R$),Qtd Depósitos,Total Saques (R$),Qtd Saques,NET Deposits (R$),GGR Cassino (R$),GGR Sports (R$),GGR Total (R$),Qtd Apostas Cassino,Qtd Apostas Sports,Volume Cassino (R$),Volume Sportsbook (R$),Win Cassino (R$),Win Sportsbook (R$),Saldo Carteira (R$),Top Games
29271305,27/08/2025,27/08/2025,"50,00",-,"231.400,00",52,"169.199,79",26,"62.200,21","-42,65","58.179,67","58.137,02",900,391,"0,00","624.179,74","42,65","566.000,07","4.063,19","Master Joker, Sweet Bonanza 1000"
28417848,26/04/2025,26/04/2025,"30,00",132251,"234.765,40",73,"199.046,51",24,"35.718,89","-48,11","-3.331,53","-3.379,64",164,450,"0,00","565.697,10","48,11","569.028,63","39.098,53","Gates of Olympus, Sweet Bonanza 1000, Joker's Jewels, Big Bass Bonanza, Ratinho Sortudo"
28528083,14/05/2025,14/05/2025,"1.475,00",132251,"269.813,00",94,"179.993,25",30,"89.819,75","-45,56","89.864,35","89.818,79",298,800,"50,00","775.755,85","95,56","685.891,50","0,96","Big Bass Bonanza, Zeus vs Hades - Gods of War, Gates of Olympus, Master Joker, Tigre Sortudo"
28323172,11/04/2025,11/04/2025,"4.000,00",91391,"270.550,00",35,"159.398,20",7,"111.151,80","0,00","-12.440,53","-12.440,53",0,243,"0,00","1.070.609,00","0,00","1.083.049,53","123.592,33",-
28226918,29/03/2025,29/03/2025,"5,00",-,"305.127,50",99,"318.681,21",56,"-13.553,71","-62,61","-26.158,18","-26.220,79",68,245,"0,00","402.688,00","62,61","428.846,18","12.667,08","Zeus vs Hades - Gods of War, Fortune Mouse, Fortune Snake, Gates of Olympus"
28141013,30/03/2025,06/03/2025,"30,00",132251,"317.850,00",83,"251.316,06",22,"66.533,94","-27,11","-9.513,81","-9.540,92",349,420,"0,00","931.657,50","27,11","941.171,31","76.074,86","Sweet Bonanza 1000, Zeus vs Hades - Gods of War, Tigre Sortudo, Master Joker"
28344492,16/04/2025,16/04/2025,"300,00",-,"345.296,00",131,"307.898,87",61,"37.397,13","-372,81","37.795,58","37.422,77",326,310,"7.968,30","520.281,93","8.341,11","482.486,35","0,79","Fortune Dragon, Zeus vs Hades - Gods of War, Baccarat A, Fortune Ox, Sweet Bonanza Xmas"
28562354,21/05/2025,21/05/2025,"1.500,00",382621,"424.219,00",153,"290.437,40",71,"133.781,60","153,95","134.127,40","134.281,35",86,704,"247,00","1.177.360,69","93,05","1.043.233,29","0,25",Fortune Rabbit
28347824,16/04/2025,16/04/2025,"10,00",85326,"467.910,00",61,"294.170,71",23,"173.739,29","-17,48","126.550,02","126.532,54",64,389,"0,00","1.421.026,35","17,48","1.294.476,33","47.206,75","Zeus vs Hades - Gods of War, Fortune Mouse, Fortune Dragon, Fortune Tiger, Cash Mania"
28196210,21/03/2025,21/03/2025,"10.000,00",-,"685.500,00",39,"409.959,00",18,"275.541,00","-10,54","-21.237,52","-21.248,06",127,287,"33,50","2.391.188,16","44,04","2.412.425,68","301.789,06","Master Joker, Fortune Rabbit"
